,nombre_artista,bio,listeners,playcount,similar
0,Disco Van," <a href=""https://www.last.fm/music/Disco+Van"">Read more on Last.fm</a>",25,258,[]
1,Niño Árbol,"Kevin Martinez is part of a new generation of artists from Guadalajara. Through dozens of tracks of different styles in electronic music he made in the last 5 years, his dynamic eclecticism launched Niño Arbol as one of the most notorious local artists playing at festivals such as Nrml, Marvin and Ceremonia in Mexico, and Circle of Light in Moscow and Sysiphos in Berlin.   <a href=""https://www.last.fm/music/Ni%C3%B1o+%C3%81rbol"">Read more on Last.fm</a>",2020,6871,"['Cabizbajo', 'El Irreal Veintiuno', 'Camille Mandoki', 'Dj Fucci', 'Pvlomo']"
2,Alexander Kowalski,"Kowalski was born in 1978 in Greifswald, Germany. He moved to Berlin with his family in 1986. In the beginning of the 90's the first techno releases from Detroit came to Berlin, and Kowalski was a big fan of those.
Later on, he started making music on his Amiga, and in 1997 he bought equipment with a friend and arranged a studio.
His first production ""The Wide Theatre"" was then released on the Tresor Headquarters Compilation (Tresor 094) under the name DisX3. That kick-started his career. <a href=""https://www.last.fm/music/Alexander+Kowalski"">Read more on Last.fm</a>",86224,598784,"['Heiko Laux', 'Anthony Rother', 'Jeff Mills', 'Johannes Heil', 'The Advent']"
3,Nineteen Sines," <a href=""https://www.last.fm/music/Nineteen+Sines"">Read more on Last.fm</a>",497,1197,"['Niereich', 'Lilly Palmer', 'Abyssvm', 'Tim Tama', 'Claas Herrmann']"
4,DP-6,"DP-6 project's participants are Alexey Filin and Vadim Indigo.
Since 2000 the project is famous for its successful musical works in different spheres.

DP-6 is Live & DJ performances in private night clubs and on big floors, great number of digital, vinyl & cd releases all over the world.

DP-6 has come out well in making successful remixes. Their tracks got support from the World Djs, they were in many charts & sounded in different sets, radios and compilations. <a href=""https://www.last.fm/music/Dp-6"">Read more on Last.fm</a>",7275,36833,"['East Cafe', 'Platunoff', 'Monojoke', 'Blusoul', 'Michael & Levan']"
5,Norberto Lusso," <a href=""https://www.last.fm/music/Norberto+Lusso"">Read more on Last.fm</a>",701,4252,"['Brecc', 'Fraktur', 'Blutrot', 'DLV', 'Reveillon']"
6,Marco Ginelli," <a href=""https://www.last.fm/music/Marco+Ginelli"">Read more on Last.fm</a>",4229,19272,"['Zeltak', 'Claas Herrmann', 'Osiris4', 'Denis Dekay', 'Luca Maier']"
7,SUBSET,"There are at least five artists with the name Subset. 

1) Subset are a London based Romantic Post-Punk Indie Rock band featuring Rom Daste on vocals and guitar, Jay Garrett on bass and vocals, Rob Robertson on guitar and vocals and Steve Higgs on drums.  Their debut EP was released in August 2009 and the Double A Side single - But We Barely Know Each Other and When The Dressing Gown Falls Down was released in January 2010.

2) Subset, the Austin, Texas rock band, was formed in February 1999 by Lindsey Simon and Nathan Fish. <a href=""https://www.last.fm/music/Subset"">Read more on Last.fm</a>",8125,61002,"['Nae:tek', 'R.Hz', 'Schulz Audio', 'Tim Kossmann', 'Altone']"
8,Mila Journée," <a href=""https://www.last.fm/music/Mila+Journ%C3%A9e"">Read more on Last.fm</a>",5569,27550,"['Øostil', 'David Lindmer', '19:26', 'The Element MT', 'Henri Bergmann']"
9,Markus Schulz - Global DJ Broadcast," <a href=""https://www.last.fm/music/Markus+Schulz+-+Global+DJ+Broadcast"">Read more on Last.fm</a>",38,154,['Andrew Rayel']
10,Luix Spectrum," <a href=""https://www.last.fm/music/Luix+Spectrum"">Read more on Last.fm</a>",2043,46559,"['Kai Pattenberg', 'Gene Karz', 'Niereich', 'Noseda', 'David Temessi']"
11,Sascha Audit," <a href=""https://www.last.fm/music/Sascha+Audit"">Read more on Last.fm</a>",544,6922,"['Atze Ton', 'Kai Pattenberg', 'Cristian Glitch', 'ShadYM', 'Marco Ginelli']"
12,Manel Diaz," <a href=""https://www.last.fm/music/Manel+Diaz"">Read more on Last.fm</a>",1252,4821,"['Avrosse', 'Avrosse & Louie Cut', 'Louie Cut', 'Patrik Soderbom', 'Min & Mal']"
13,Greg Denbosa," <a href=""https://www.last.fm/music/Greg+Denbosa"">Read more on Last.fm</a>",494,1558,"['Luigi Madonna', 'F-Rontal', '2pole', 'Michael Klein', 'Tobias Lueke']"
14,Dkult," <a href=""https://www.last.fm/music/Dkult"">Read more on Last.fm</a>",364,1319,"['Mattias Fridell', 'Stevie Wilson', 'Marco Ginelli', 'Darmec', 'TWIST3D']"
15,Duck Sandoval," <a href=""https://www.last.fm/music/Duck+Sandoval"">Read more on Last.fm</a>",150,296,"['Morcaratia', 'Grupa Dusku', 'Pacius Elter', 'Unkoder', 'Mirrørmask']"
16,Darknezz," <a href=""https://www.last.fm/music/Darknezz"">Read more on Last.fm</a>",247,852,"['Darko de Jan', 'Diass', 'High On Mars', 'Teklix', 'Skymn']"
17,Fabrice Torricella," <a href=""https://www.last.fm/music/Fabrice+Torricella"">Read more on Last.fm</a>",1013,4161,"['Niereich', 'Mintech', 'Mikael Pfeiffer', 'Luix Spectrum', 'Cortechs']"
18,Maguta," <a href=""https://www.last.fm/music/Maguta"">Read more on Last.fm</a>",865,3289,"['Luigi Peretti', 'Avrosse', 'Kevin Coshner', 'Ramirez Resso', 'DoubKore']"
19,Marc Molina," <a href=""https://www.last.fm/music/marc+molina"">Read more on Last.fm</a>",593,1458,"['Jay Lumen & Max Demand', 'Energy 52', 'Proudly People', 'Milk & Sugar', 'Riva Starr']"
