,nombre_artista,bio,listeners,playcount,similar
0,Har-El,"Har-El Prusky, Goa Trance/Acid producer from Israel primarily known for California Sunshine and Adrenalin Drum projects. <a href=""https://www.last.fm/music/Har-El"">Read more on Last.fm</a>",1171,4905,"['Tristan and a Green Nun', 'Kayseri', 'I Savastano', 'Epic-tone', 'Exotonic']"
1,Nicolas Rada," <a href=""https://www.last.fm/music/Nicolas+Rada"">Read more on Last.fm</a>",3427,16701,"['Dmitry Molosh', 'Michael A', 'Ewan Rill', 'Analog Jungs', 'Simos Tagias']"
2,Bynomic," <a href=""https://www.last.fm/music/Bynomic"">Read more on Last.fm</a>",494,1987,"['Madloch', 'Seven Wells', 'B.A.X.', 'Fabri Lopez', 'Eric Lune']"
3,Milos Miladinovic," <a href=""https://www.last.fm/music/Milos+Miladinovic"">Read more on Last.fm</a>",83,357,['Dmitry Molosh']
4,Armin van Buuren ASOT Radio,"A mistag for Armin Van Buuren's weekly A State of Trance radio show.  <a href=""https://www.last.fm/music/Armin+van+Buuren+ASOT+Radio"">Read more on Last.fm</a>",8353,109640,"['Aly & Fila', 'Andrew Rayel', 'Armin van Buuren', 'Markus Schulz', 'Eximinds']"
5,Eric Senn,"Born and raised in Poland, Eryk Sendecki is a bright up and coming DJ and Producer with experience not only in producing music tracks for film but also on the uplifting and emotional side of Trance. Influenced by the likes of Armin van Buuren, Tiesto, Daniel Kandi, Andy Blueman, Alex M.O.R.P.H and Dash Berlin his DJ career started in 2012 playing small Trance events.Then at age 17, Eric started producing music without any formal musical school or education. <a href=""https://www.last.fm/music/Eric+Senn"">Read more on Last.fm</a>",4721,35688,"['FUTURECODE', 'Dennis Graft', 'Assaf', 'Madwave', 'Leroy Moreno']"
6,Roman Messer Suanda Radio," <a href=""https://www.last.fm/music/Roman+Messer+Suanda+Radio"">Read more on Last.fm</a>",29,137,"['She Shaz Band', 'Tritonal Tritonia Radio', 'Primestate Project', 'Elektrostaub feat. Patrik Hansson', 'Tycoos Future Horizons Radio']"
7,Andrew Rayel,"Trance producer and DJ from Moldova.

Randry / Andrew Rayel's real name it's Andrei Rata

His musical career began in 2005. At only 17 years old, Andrew Rayel has been producing since he was 13, each year gaining more and more experience and finding his “sound”. His tracks have a variety of influences from different trance styles. He tries to offer something hot and new every time, never using the same formula of previous track.

Andrew Rayel <a href=""https://www.last.fm/music/Andrew+Rayel"">Read more on Last.fm</a>",175451,2745806,"['Giuseppe Ottaviani', 'Ben Gold', 'Armin van Buuren', 'Craig Connelly', 'David Forbes']"
8,Cosmic Gate's Wake Your Mind Radio," <a href=""https://www.last.fm/music/Cosmic+Gate%27s+Wake+Your+Mind+Radio"">Read more on Last.fm</a>",124,454,"['John O’Callaghan, Audrey Gallagher', ""John O'Callaghan, Will Atkinson, The Noble Six"", 'Armin van Buuren', 'Armin van Buuren ASOT Radio', 'Markus Schulz, Matt Fax, Dennis Sheperd']"
9,Luke Terry,"24 year-old Luke Terry is the brink of something big, but first impressions are of his dedication to music rather than his accomplishments within the trance scene.

A genuinely modest character, Luke will be the last person to bring his rapidly progressing music career into a conversation. Don’t get us wrong, Luke’s passion for music is obvious. It’s all he talks about. However, what he usually neglects to mention is that his music has gained support from just about every big name trance DJ on the planet. <a href=""https://www.last.fm/music/Luke+Terry"">Read more on Last.fm</a>",10310,57980,"['Tonny Nesse', 'Ciro Visone', 'Akira Kayosa', 'Johan Ekman', 'Matt Davey']"
